scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sd_risk,beta_risk,sharpe_risk,sortino_risk,risk_score,calculated_risk_level,calculated_risk_numeric,risk_explanation,return_score,sharpe_quality,sortino_quality,fund_quality_score,risk_gap,risk_compatibility,recommendation_score
UTI-Floater Fund,500,500,0.35,1637.0,4,Sudhir Agrawal,3.07,3.41,1.05,1.41,1.45,2,UTI Mutual Fund,3,Debt,Floater Mutual Funds,5.1,5.9,,28.57142857142857,85.71428571428571,71.42857142857143,28.57142857142857,48.57142857142857,Moderate,3,Primary risk drivers: Market Sensitivity and Sharpe Risk.,28.57142857142857,42.857142857142854,85.71428571428571,50.0,0,100.0,70.71428571428571
UTI-Gilt Fund,500,500,0.67,517.0,10,Sudhir Agrawal,0.55,0.47,2.8,0.55,0.38,3,UTI Mutual Fund,3,Debt,Gilt Mutual Funds,5.0,5.0,7.3,47.368421052631575,34.21052631578947,68.42105263157895,60.526315789473685,51.578947368421055,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,36.84210526315789,36.84210526315789,44.73684210526316,39.21052631578947,0,100.0,69.13157894736842
UTI-Healthcare Fund,500,5000,1.47,655.0,10,V Srivatsa,1.99,1.12,20.55,0.94,0.91,6,UTI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-9.0,22.0,12.0,71.7948717948718,87.17948717948718,96.15384615384616,92.94871794871796,83.97435897435898,Very High,5,Primary risk drivers: Sharpe Risk and Downside Risk.,12.82051282051282,5.128205128205128,8.333333333333332,9.166666666666666,2,50.0,30.314102564102562
UTI-Hybrid Equity Fund,500,1000,1.34,4286.0,10,V Srivatsa,3.63,5.77,12.55,0.84,1.69,6,UTI Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,25.8,9.8,70.0,75.0,16.666666666666664,23.333333333333332,51.0,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,76.66666666666667,86.66666666666667,80.0,80.66666666666667,0,100.0,89.53333333333333
UTI-India Consumer Fund,500,5000,1.8,436.0,10,Vishal Chopda,2.29,-1.44,13.74,0.71,1.09,6,UTI Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,-0.5,18.0,8.4,8.974358974358974,30.76923076923077,76.92307692307693,76.28205128205127,40.38461538461539,Moderate,3,Primary risk drivers: Sharpe Risk and Downside Risk.,2.564102564102564,24.358974358974358,25.0,15.833333333333332,0,100.0,55.26282051282051
UTI-Infrastructure Fund,500,5000,1.92,1445.0,10,Sachin Trivedi,2.9,3.52,17.99,0.67,1.38,6,UTI Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,12.9,28.0,9.4,50.0,24.358974358974358,50.641025641025635,45.51282051282051,44.1025641025641,Moderate,3,Primary risk drivers: Sharpe Risk and Volatility.,57.05128205128205,50.641025641025635,55.769230769230774,54.74358974358974,0,100.0,77.83333333333333
UTI-Liquid – Cash Plan – Direct Growth,0,500,0.14,31463.0,10,Amandeep Chopra,4.83,1.41,0.38,0.77,0.98,2,UTI Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.3,63.63636363636363,77.27272727272727,31.818181818181817,30.303030303030305,53.33333333333333,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,80.3030303030303,71.21212121212122,72.72727272727273,75.30303030303031,0,100.0,88.65151515151516
UTI-Long Term Equity Fund,500,500,0.95,2797.0,10,Vetri Subramaniam,2.98,-0.52,16.16,0.92,1.31,6,UTI Mutual Fund,3,Equity,ELSS Mutual Funds,-2.9,24.5,10.9,60.78431372549019,59.80392156862745,79.41176470588235,68.62745098039215,65.88235294117646,High,4,Primary risk drivers: Sharpe Risk and Downside Risk.,21.568627450980394,22.54901960784314,33.33333333333333,25.392156862745097,1,75.0,49.431372549019606
UTI-Mastershare – Direct Growth,500,100,0.97,10312.0,10,Karthikraj Lakshmanan,3.28,-0.57,15.87,0.93,1.29,6,UTI Mutual Fund,4,Equity,Large Cap Mutual Funds,-2.0,24.2,11.5,53.57142857142857,60.71428571428571,53.57142857142857,28.57142857142857,50.0,Moderate,3,Primary risk drivers: Market Sensitivity and Volatility.,40.74074074074074,50.0,75.0,53.7962962962963,0,100.0,74.28703703703704
UTI-Medium Term Fund,500,500,1.0,54.0,8,Sunil Patil,0.47,0.85,3.04,0.8,0.35,3,UTI Mutual Fund,2,Debt,Medium Duration Funds,3.7,5.4,4.6,75.0,58.333333333333336,83.33333333333334,83.33333333333334,75.00000000000001,High,4,Primary risk drivers: Sharpe Risk and Downside Risk.,25.0,25.0,25.0,25.0,1,75.0,50.0
UTI-Mid Cap Fund,500,5000,0.99,7077.0,10,Ankit Agarwal,3.49,1.03,16.43,0.89,1.65,6,UTI Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.4,31.1,11.4,43.47826086956522,47.82608695652174,47.82608695652174,43.47826086956522,45.217391304347835,Moderate,3,Primary risk drivers: Market Sensitivity and Sharpe Risk.,52.17391304347826,56.52173913043478,60.86956521739131,56.086956521739125,0,100.0,77.26086956521739
